Name,Description,Price,SKU,Stock,Vendor,Type,Images
Vintage Leather Wallet,"Handcrafted full-grain leather wallet with 6 card slots and a bill compartment.",49.99,WAL-001,25,Heritage Goods,Accessories,https://cdn.example.com/wallet-01.jpg
Merino Wool Beanie,"Soft merino wool beanie perfect for cold weather. One size fits most.",29.99,BEA-002,50,NorthPeak,Apparel,https://cdn.example.com/beanie-01.jpg
Ceramic Pour-Over Dripper,"Handmade ceramic coffee dripper for single-cup pour-over brewing.",34.99,COF-003,15,Kiln Works,Home & Kitchen,https://cdn.example.com/dripper-01.jpg
Canvas Weekender Bag,"Waxed canvas weekender with leather handles. Fits a 2-3 day trip.",129.99,BAG-004,10,Heritage Goods,Bags,https://cdn.example.com/bag-01.jpg
Stainless Steel Water Bottle,"Double-walled insulated bottle keeps drinks cold 24hrs or hot 12hrs.",24.99,BOT-005,100,NorthPeak,Outdoors,https://cdn.example.com/bottle-01.jpg
Linen Throw Blanket,"100% Belgian linen throw blanket. Soft, breathable, naturally textured.",89.99,BLA-006,20,Home Essentials,Home & Kitchen,https://cdn.example.com/blanket-01.jpg
Cast Iron Skillet 10 inch,"Pre-seasoned cast iron skillet. Made in USA.",39.99,SKI-007,30,Kiln Works,Home & Kitchen,https://cdn.example.com/skillet-01.jpg
Organic Cotton T-Shirt,"Unisex crew-neck t-shirt made from organic cotton. Garment-dyed.",24.99,TEE-008,75,Heritage Goods,Apparel,https://cdn.example.com/tshirt-01.jpg
Leather Journal,"A5 leather-bound journal with 240 ruled pages and a built-in ribbon marker.",44.99,JOU-009,18,Heritage Goods,Stationery,https://cdn.example.com/journal-01.jpg
Natural Beeswax Candle,"Hand-poured beeswax candle with a cotton wick. 40 hour burn time.",19.99,CAN-010,40,Home Essentials,Home & Kitchen,https://cdn.example.com/candle-01.jpg
